ImageId,Label
1,2
2,0
3,9
4,4
5,2
6,7
7,0
8,3
9,0
10,3
11,5
12,7
13,8
14,0
15,9
16,3
17,3
18,1
19,9
20,0
21,9
22,1
23,1
24,5
25,7
26,9
27,2
28,7
29,9
30,7
31,7
32,5
33,4
34,3
35,6
36,2
37,9
38,5
39,6
40,6
41,7
42,7
43,4
44,9
45,8
46,7
47,8
48,3
49,6
50,1
51,6
52,5
53,8
54,3
55,4
56,2
57,1
58,8
59,9
60,0
61,9
62,1
63,7
64,6
65,0
66,6
67,1
68,9
69,6
70,1
71,6
72,5
73,8
74,8
75,8
76,0
77,3
78,9
79,2
80,3
81,5
82,6
83,1
84,0
85,9
86,2
87,4
88,3
89,6
90,7
91,2
92,0
93,6
94,6
95,1
96,4
97,8
98,9
99,7
100,9
101,0
102,5
103,3
104,0
105,9
106,9
107,0
108,5
109,0
110,2
111,2
112,0
113,6
114,7
115,1
116,8
117,1
118,1
119,3
120,8
121,3
122,7
123,2
124,8
125,6
126,3
127,3
128,7
129,6
130,9
131,5
132,5
133,6
134,6
135,0
136,0
137,3
138,1
139,5
140,6
141,4
142,3
143,9
144,5
145,5
146,8
147,9
148,9
149,2
150,9
151,4
152,3
153,5
154,6
155,5
156,2
157,7
158,5
159,7
160,8
161,3
162,0
163,4
164,6
165,1
166,2
167,7
168,2
169,3
170,0
171,0
172,7
173,9
174,6
175,1
176,3
177,7
178,9
179,1
180,2
181,9
182,3
183,5
184,2
185,4
186,9
187,2
188,1
189,6
190,0
191,6
192,1
193,4
194,9
195,6
196,0
197,9
198,7
199,6
200,9
201,1
202,9
203,0
204,9
205,9
206,0
207,9
208,4
209,6
210,6
211,6
212,7
213,3
214,6
215,9
216,5
217,1
218,6
219,3
220,9
221,2
222,3
223,1
224,0
225,2
226,6
227,9
228,6
229,1
230,0
231,3
232,6
233,7
234,1
235,7
236,2
237,2
238,2
239,3
240,6
241,0
242,6
243,2
244,3
245,9
246,5
247,9
248,9
249,3
250,6
251,9
252,9
253,1
254,5
255,8
256,9
257,5
258,1
259,4
260,3
261,0
262,3
263,9
264,5
265,7
266,0
267,6
268,8
269,6
270,1
271,6
272,0
273,6
274,5
275,8
276,5
277,1
278,5
279,8
280,4
281,0
282,9
283,2
284,0
285,5
286,3
287,7
288,6
289,9
290,9
291,8
292,7
293,7
294,4
295,4
296,6
297,3
298,0
299,2
300,3
301,6
302,9
303,8
304,2
305,6
306,4
307,7
308,1
309,4
310,5
311,8
312,5
313,9
314,0
315,5
316,5
317,9
318,9
319,1
320,8
321,4
322,1
323,8
324,9
325,8
326,4
327,5
328,1
329,5
330,7
331,6
332,3
333,1
334,3
335,0
336,9
337,0
338,6
339,6
340,6
341,6
342,2
343,1
344,8
345,6
346,0
347,6
348,5
349,2
350,3
351,6
352,7
353,9
354,3
355,7
356,8
357,7
358,9
359,2
360,8
361,8
362,6
363,3
364,8
365,9
366,2
367,3
368,3
369,1
370,2
371,9
372,0
373,9
374,9
375,7
376,6
377,9
378,5
379,3
380,7
381,6
382,5
383,0
384,4
385,2
386,6
387,8
388,1
389,5
390,7
391,1
392,7
393,9
394,9
395,6
396,1
397,1
398,1
399,7
400,3
401,9
402,7
403,6
404,1
405,1
406,1
407,2
408,3
409,5
410,5
411,5
412,5
413,4
414,1
415,2
416,9
417,1
418,1
419,3
420,5
421,6
422,6
423,6
424,5
425,3
426,1
427,4
428,7
429,7
430,7
431,4
432,8
433,5
434,2
435,6
436,1
437,9
438,9
439,9
440,0
441,8
442,9
443,7
444,4
445,6
446,4
447,1
448,5
449,3
450,9
451,9
452,7
453,6
454,9
455,5
456,9
457,8
458,5
459,9
460,6
461,6
462,7
463,5
464,0
465,4
466,1
467,7
468,4
469,4
470,1
471,1
472,4
473,9
474,5
475,5
476,0
477,9
478,3
479,1
480,6
481,9
482,8
483,2
484,2
485,4
486,9
487,9
488,8
489,3
490,7
491,5
492,4
493,2
494,4
495,2
496,7
497,5
498,3
499,2
500,5
501,6
502,0
503,4
504,6
505,1
506,3
507,3
508,3
509,5
510,6
511,7
512,8
513,3
514,7
515,8
516,8
517,1
518,7
519,6
520,2
521,9
522,9
523,0
524,7
525,7
526,1
527,0
528,1
529,1
530,7
531,0
532,0
533,3
534,8
535,8
536,0
537,6
538,5
539,7
540,3
541,0
542,2
543,9
544,2
545,0
546,3
547,0
548,9
549,2
550,1
551,1
552,3
553,7
554,5
555,0
556,0
557,7
558,5
559,6
560,2
561,9
562,3
563,1
564,1
565,0
566,5
567,4
568,1
569,1
570,9
571,6
572,5
573,5
574,0
575,0
576,6
577,8
578,9
579,4
580,2
581,0
582,1
583,9
584,6
585,9
586,1
587,7
588,0
589,8
590,0
591,8
592,4
593,9
594,0
595,2
596,6
597,6
598,6
599,0
600,3
601,3
602,1
603,7
604,1
605,6
606,0
607,9
608,5
609,6
610,9
611,7
612,4
613,3
614,2
615,2
616,9
617,7
618,0
619,6
620,9
621,8
622,5
623,9
624,4
625,0
626,8
627,8
628,5
629,6
630,9
631,6
632,1
633,9
634,6
635,1
636,4
637,9
638,7
639,9
640,3
641,6
642,9
643,9
644,6
645,5
646,3
647,9
648,4
649,1
650,8
651,9
652,9
653,6
654,3
655,8
656,2
657,4
658,3
659,3
660,7
661,2
662,3
663,4
664,0
665,9
666,8
667,1
668,3
669,3
670,6
671,3
672,9
673,9
674,3
675,5
676,7
677,7
678,6
679,6
680,0
681,6
682,9
683,8
684,1
685,3
686,3
687,9
688,6
689,9
690,9
691,8
692,6
693,0
694,1
695,9
696,9
697,3
698,9
699,9
700,8
701,9
702,0
703,9
704,0
705,6
706,5
707,4
708,4
709,6
710,5
711,5
712,8
713,1
714,5
715,8
716,6
717,2
718,3
719,7
720,3
721,9
722,0
723,1
724,0
725,1
726,0
727,6
728,9
729,7
730,0
731,7
732,1
733,3
734,2
735,8
736,7
737,1
738,6
739,1
740,5
741,4
742,9
743,3
744,9
745,3
746,4
747,2
748,9
749,2
750,6
751,4
752,9
753,4
754,4
755,4
756,4
757,7
758,1
759,1
760,2
761,8
762,0
763,4
764,0
765,9
766,0
767,6
768,5
769,1
770,8
771,6
772,6
773,0
774,1
775,5
776,3
777,9
778,6
779,3
780,1
781,1
782,6
783,9
784,8
785,5
786,5
787,3
788,9
789,3
790,0
791,3
792,6
793,4
794,0
795,4
796,8
797,1
798,6
799,9
800,7
801,1
802,1
803,3
804,3
805,1
806,9
807,5
808,6
809,9
810,1
811,5
812,9
813,7
814,8
815,6
816,4
817,0
818,9
819,7
820,4
821,3
822,0
823,0
824,0
825,1
826,9
827,0
828,9
829,5
830,6
831,8
832,6
833,5
834,9
835,3
836,9
837,6
838,1
839,3
840,3
841,1
842,9
843,0
844,3
845,4
846,6
847,7
848,6
849,8
850,5
851,9
852,9
853,7
854,9
855,2
856,3
857,1
858,8
859,6
860,5
861,0
862,4
863,1
864,9
865,2
866,5
867,6
868,9
869,2
870,3
871,9
872,5
873,4
874,0
875,3
876,7
877,1
878,1
879,0
880,1
881,9
882,6
883,1
884,1
885,2
886,7
887,1
888,5
889,9
890,9
891,1
892,7
893,4
894,0
895,4
896,2
897,9
898,6
899,1
900,1
901,5
902,3
903,3
904,7
905,6
906,7
907,8
908,3
909,2
910,7
911,6
912,6
913,9
914,9
915,1
916,8
917,4
918,6
919,1
920,2
921,7
922,3
923,5
924,5
925,4
926,7
927,9
928,6
929,6
930,3
931,5
932,2
933,1
934,4
935,1
936,3
937,9
938,7
939,9
940,0
941,6
942,6
943,6
944,1
945,6
946,9
947,2
948,8
949,9
950,3
951,6
952,9
953,5
954,6
955,3
956,2
957,8
958,3
959,6
960,2
961,9
962,9
963,4
964,0
965,0
966,5
967,1
968,8
969,9
970,0
971,5
972,2
973,9
974,6
975,9
976,0
977,8
978,6
979,7
980,4
981,5
982,8
983,7
984,9
985,7
986,9
987,0
988,5
989,9
990,2
991,1
992,9
993,0
994,6
995,8
996,3
997,6
998,2
999,2
1000,9
1001,0
1002,7
1003,0
1004,7
1005,1
1006,3
1007,4
1008,6
1009,3
1010,7
1011,2
1012,6
1013,3
1014,7
1015,3
1016,7
1017,2
1018,3
1019,4
1020,9
1021,6
1022,9
1023,9
1024,6
1025,2
1026,6
1027,1
1028,5
1029,5
1030,1
1031,9
1032,1
1033,8
1034,9
1035,9
1036,5
1037,5
1038,8
1039,0
1040,6
1041,1
1042,6
1043,1
1044,9
1045,6
1046,2
1047,9
1048,7
1049,0
1050,6
1051,2
1052,6
1053,3
1054,5
1055,9
1056,1
1057,1
1058,3
1059,6
1060,3
1061,5
1062,0
1063,6
1064,0
1065,9
1066,6
1067,7
1068,0
1069,5
1070,9
1071,8
1072,3
1073,7
1074,6
1075,7
1076,2
1077,6
1078,1
1079,2
1080,9
1081,5
1082,0
1083,2
1084,8
1085,7
1086,7
1087,6
1088,6
1089,3
1090,1
1091,3
1092,1
1093,6
1094,1
1095,7
1096,6
1097,5
1098,5
1099,5
1100,3
1101,9
1102,2
1103,9
1104,1
1105,8
1106,2
1107,0
1108,6
1109,4
1110,6
1111,7
1112,2
1113,4
1114,1
1115,0
1116,3
1117,2
1118,6
1119,1
1120,9
1121,8
1122,5
1123,9
1124,1
1125,6
1126,3
1127,8
1128,6
1129,1
1130,2
1131,0
1132,5
1133,8
1134,0
1135,3
1136,6
1137,8
1138,8
1139,7
1140,9
1141,6
1142,0
1143,3
1144,1
1145,2
1146,8
1147,4
1148,5
1149,5
1150,5
1151,6
1152,7
1153,5
1154,4
1155,9
1156,9
1157,9
1158,1
1159,8
1160,6
1161,9
1162,1
1163,7
1164,0
1165,6
1166,4
1167,8
1168,2
1169,4
1170,5
1171,3
1172,2
1173,9
1174,1
1175,8
1176,6
1177,3
1178,7
1179,2
1180,5
1181,8
1182,3
1183,9
1184,9
1185,0
1186,7
1187,0
1188,5
1189,0
1190,9
1191,7
1192,3
1193,3
1194,8
1195,8
1196,9
1197,3
1198,0
1199,5
1200,6
1201,6
1202,9
1203,3
1204,5
1205,1
1206,7
1207,8
1208,6
1209,9
1210,5
1211,6
1212,8
1213,8
1214,4
1215,5
1216,9
1217,8
1218,7
